state,pollster,start_date,end_date,sample_size,population,candidate_name,pct,party,methodology,outcome,predicted_prob,predicted_winner
New Mexico,Redfield & Wilton Strategies,2024-10-12,10/14/24,382,lv,Donald Trump,45,REP,Online Panel,0,0.49446787325443686,REP
Pennsylvania,Redfield & Wilton Strategies,2024-10-12,10/14/24,1649,lv,Kamala Harris,48,DEM,Online Panel,1,0.4685570851694955,REP
Pennsylvania,Redfield & Wilton Strategies,2024-10-12,10/14/24,1649,lv,Donald Trump,48,REP,Online Panel,0,0.4685570851694955,REP
Wisconsin,Redfield & Wilton Strategies,2024-10-12,10/14/24,641,lv,Kamala Harris,48,DEM,Online Panel,1,0.4692730201591738,REP
Wisconsin,Redfield & Wilton Strategies,2024-10-12,10/14/24,641,lv,Donald Trump,47,REP,Online Panel,0,0.47759883318609536,REP
North Carolina,Cygnal,2024-10-12,10/14/24,600,lv,Kamala Harris,46.6,DEM,Live Phone/Text-to-Web,1,0.48096209868037765,REP
North Carolina,Cygnal,2024-10-12,10/14/24,600,lv,Donald Trump,47.2,REP,Live Phone/Text-to-Web,0,0.47596169123502835,REP
Georgia,Quinnipiac,2024-10-10,10/14/24,1328,lv,Kamala Harris,45,DEM,Live Phone,1,0.4937934598463616,REP
Georgia,Quinnipiac,2024-10-10,10/14/24,1328,lv,Donald Trump,52,REP,Live Phone,0,0.43570406604299117,REP
Georgia,Quinnipiac,2024-10-10,10/14/24,1328,lv,Kamala Harris,46,DEM,Live Phone,1,0.4854476764700259,REP
Georgia,Quinnipiac,2024-10-10,10/14/24,1328,lv,Donald Trump,52,REP,Live Phone,0,0.43570406604299117,REP
North Carolina,Quinnipiac,2024-10-10,10/14/24,1031,lv,Kamala Harris,49,DEM,Live Phone,1,0.4606879098520401,REP
North Carolina,Quinnipiac,2024-10-10,10/14/24,1031,lv,Donald Trump,47,REP,Live Phone,0,0.47732132480641726,REP
North Carolina,Quinnipiac,2024-10-10,10/14/24,1031,lv,Kamala Harris,50,DEM,Live Phone,1,0.452401599084565,REP
North Carolina,Quinnipiac,2024-10-10,10/14/24,1031,lv,Donald Trump,47,REP,Live Phone,0,0.47732132480641726,REP
Washington,SurveyUSA,2024-10-09,10/14/24,703,lv,Kamala Harris,57,DEM,Online Panel,1,0.39560193329392357,REP
Washington,SurveyUSA,2024-10-09,10/14/24,703,lv,Donald Trump,35,REP,Online Panel,0,0.5771142272754184,DEM
Maryland,ActiVote,2024-09-08,10/14/24,400,lv,Kamala Harris,62.9,DEM,App Panel,1,0.3497790943896688,REP
Maryland,ActiVote,2024-09-08,10/14/24,400,lv,Donald Trump,37.1,REP,App Panel,0,0.5601241294196388,DEM
Michigan,SoCal Strategies,2024-10-11,10/13/24,692,lv,Kamala Harris,49,DEM,Online Panel,1,0.4609281347999242,REP
Michigan,SoCal Strategies,2024-10-11,10/13/24,692,lv,Donald Trump,48,REP,Online Panel,0,0.4692367941951643,REP
Arizona,Trafalgar Group,2024-10-10,10/13/24,1090,lv,Kamala Harris,46,DEM,IVR/Live Phone/Text/Online Panel/Email,1,0.4856172305192038,REP
Arizona,Trafalgar Group,2024-10-10,10/13/24,1090,lv,Donald Trump,47.5,REP,IVR/Live Phone/Text/Online Panel/Email,0,0.47311485357854594,REP
North Carolina,Trafalgar Group,2024-10-10,10/13/24,1085,lv,Kamala Harris,44.6,DEM,IVR/Live Phone/Text/Online Panel/Email,1,0.4973062585359697,REP
North Carolina,Trafalgar Group,2024-10-10,10/13/24,1085,lv,Donald Trump,46.5,REP,IVR/Live Phone/Text/Online Panel/Email,0,0.48145055579931934,REP
Nevada,Trafalgar Group,2024-10-10,10/13/24,1088,lv,Kamala Harris,45.6,DEM,IVR/Live Phone/Text/Online Panel/Email,1,0.48895631421173535,REP
Nevada,Trafalgar Group,2024-10-10,10/13/24,1088,lv,Donald Trump,44.8,REP,IVR/Live Phone/Text/Online Panel/Email,0,0.4956342892646848,REP
Washington,ActiVote,2024-09-07,10/13/24,400,lv,Kamala Harris,60,DEM,App Panel,1,0.37211471878342023,REP
Washington,ActiVote,2024-09-07,10/13/24,400,lv,Donald Trump,40,REP,App Panel,0,0.5361395593170613,DEM
Washington,Elway,2024-10-08,10/12/24,401,lv,Kamala Harris,57,DEM,Live Phone/Text-to-Web,1,0.39580789306778513,REP
Washington,Elway,2024-10-08,10/12/24,401,lv,Donald Trump,32,REP,Live Phone/Text-to-Web,0,0.6015659865158199,DEM
Michigan,MRG (Marketing Resource Group),2024-10-07,10/11/24,600,lv,Kamala Harris,44.9,DEM,Live Phone,1,0.4951473214845525,REP
Michigan,MRG (Marketing Resource Group),2024-10-07,10/11/24,600,lv,Donald Trump,44,REP,Live Phone,0,0.5026617620565069,DEM
Pennsylvania,Siena/NYT,2024-10-07,10/10/24,857,rv,Kamala Harris,50,DEM,Live Phone,1,0.4525245412237565,REP
Pennsylvania,Siena/NYT,2024-10-07,10/10/24,857,rv,Donald Trump,47,REP,Live Phone,0,0.47744513451779014,REP
Pennsylvania,Siena/NYT,2024-10-07,10/10/24,857,rv,Kamala Harris,49,DEM,Live Phone,1,0.46081120887871524,REP
Pennsylvania,Siena/NYT,2024-10-07,10/10/24,857,rv,Donald Trump,45,REP,Live Phone,0,0.4941292380591338,REP
Pennsylvania,Siena/NYT,2024-10-07,10/10/24,857,lv,Kamala Harris,50,DEM,Live Phone,1,0.4525245412237565,REP
Pennsylvania,Siena/NYT,2024-10-07,10/10/24,857,lv,Donald Trump,47,REP,Live Phone,0,0.47744513451779014,REP
Pennsylvania,Siena/NYT,2024-10-07,10/10/24,857,lv,Kamala Harris,49,DEM,Live Phone,1,0.46081120887871524,REP
Pennsylvania,Siena/NYT,2024-10-07,10/10/24,857,lv,Donald Trump,45,REP,Live Phone,0,0.4941292380591338,REP
Arizona,Siena/NYT,2024-10-07,10/10/24,808,lv,Kamala Harris,46,DEM,Live Phone,1,0.48581813497735316,REP
Arizona,Siena/NYT,2024-10-07,10/10/24,808,lv,Donald Trump,51,REP,Live Phone,0,0.44429861178421864,REP
Arizona,Siena/NYT,2024-10-07,10/10/24,808,lv,Kamala Harris,45,DEM,Live Phone,1,0.4941641707090818,REP
Arizona,Siena/NYT,2024-10-07,10/10/24,808,lv,Donald Trump,50,REP,Live Phone,0,0.45255916390670226,REP
Arizona,Siena/NYT,2024-10-07,10/10/24,808,rv,Kamala Harris,45,DEM,Live Phone,1,0.4941641707090818,REP
Arizona,Siena/NYT,2024-10-07,10/10/24,808,rv,Donald Trump,51,REP,Live Phone,0,0.44429861178421864,REP
Arizona,Siena/NYT,2024-10-07,10/10/24,808,rv,Kamala Harris,44,DEM,Live Phone,1,0.5025134601706561,DEM
Arizona,Siena/NYT,2024-10-07,10/10/24,808,rv,Donald Trump,49,REP,Live Phone,0,0.4608459318844944,REP
Georgia,RMG Research,2024-10-07,10/10/24,731,lv,Kamala Harris,47,DEM,Online Panel,1,0.4775347915570995,REP
Georgia,RMG Research,2024-10-07,10/10/24,731,lv,Donald Trump,50,REP,Online Panel,0,0.4526135719073233,REP
Massachusetts,UMass Amherst/YouGov,2024-10-03,10/10/24,700,a,Kamala Harris,56,DEM,Online Panel,1,0.4036167552901801,REP
Massachusetts,UMass Amherst/YouGov,2024-10-03,10/10/24,700,a,Donald Trump,30,REP,Online Panel,0,0.6172608884040583,DEM
Pennsylvania,American Pulse,2024-10-02,10/10/24,1193,lv,Kamala Harris,47.6,DEM,IVR/Live Phone/Text-to-Web,1,0.4722091719637088,REP
Pennsylvania,American Pulse,2024-10-02,10/10/24,1193,lv,Donald Trump,49,REP,IVR/Live Phone/Text-to-Web,0,0.4605731185307211,REP
Pennsylvania,American Pulse,2024-10-02,10/10/24,1193,lv,Kamala Harris,49.5,DEM,IVR/Live Phone/Text-to-Web,1,0.45642711523874196,REP
Pennsylvania,American Pulse,2024-10-02,10/10/24,1193,lv,Donald Trump,50.5,REP,IVR/Live Phone/Text-to-Web,0,0.4481537583913831,REP
New Hampshire,University of Massachusetts Lowell/YouGov,2024-10-02,10/10/24,600,lv,Kamala Harris,50,DEM,Online Panel,1,0.4527061387695114,REP
New Hampshire,University of Massachusetts Lowell/YouGov,2024-10-02,10/10/24,600,lv,Donald Trump,41,REP,Online Panel,0,0.5276821781221629,DEM
Texas,U. Houston,2024-09-26,10/10/24,1329,lv,Kamala Harris,46,DEM,Online Panel,1,0.48544696406509386,REP
Texas,U. Houston,2024-09-26,10/10/24,1329,lv,Donald Trump,51,REP,Online Panel,0,0.44393177481002205,REP
California,ActiVote,2024-09-22,10/10/24,400,lv,Kamala Harris,63.5,DEM,App Panel,1,0.34523538493384526,REP
California,ActiVote,2024-09-22,10/10/24,400,lv,Donald Trump,36.5,REP,App Panel,0,0.5650553294261282,DEM
Missouri,ActiVote,2024-09-08,10/10/24,400,lv,Kamala Harris,42.8,DEM,App Panel,1,0.5128210686337705,DEM
Missouri,ActiVote,2024-09-08,10/10/24,400,lv,Donald Trump,57.2,REP,App Panel,0,0.39421229028796045,REP
Michigan,InsiderAdvantage,2024-10-08,10/9/24,800,lv,Kamala Harris,46,DEM,Text,1,0.48582383446176497,REP
Michigan,InsiderAdvantage,2024-10-08,10/9/24,800,lv,Donald Trump,48,REP,Text,0,0.4691600814596684,REP
Wisconsin,InsiderAdvantage,2024-10-08,10/9/24,800,lv,Kamala Harris,48,DEM,Text,1,0.4691600814596684,REP
Wisconsin,InsiderAdvantage,2024-10-08,10/9/24,800,lv,Donald Trump,48,REP,Text,0,0.4691600814596684,REP
Georgia,Redfield & Wilton Strategies,2024-10-08,10/9/24,608,lv,Kamala Harris,47,DEM,Online Panel,1,0.47762231530136806,REP
Georgia,Redfield & Wilton Strategies,2024-10-08,10/9/24,608,lv,Donald Trump,48,REP,Online Panel,0,0.46929646066140274,REP
Pennsylvania,Redfield & Wilton Strategies,2024-10-08,10/9/24,707,lv,Kamala Harris,46,DEM,Online Panel,1,0.4858900912382279,REP
Pennsylvania,Redfield & Wilton Strategies,2024-10-08,10/9/24,707,lv,Donald Trump,48,REP,Online Panel,0,0.4692261395615482,REP
Alaska,Alaska Survey Research,2024-10-08,10/9/24,1254,lv,Kamala Harris,43,DEM,Text-to-Web,1,0.5105434918355501,DEM
Alaska,Alaska Survey Research,2024-10-08,10/9/24,1254,lv,Donald Trump,50,REP,Text-to-Web,0,0.4522440438019866,REP
Alaska,Alaska Survey Research,2024-10-08,10/9/24,1254,lv,Kamala Harris,46,DEM,Text-to-Web,1,0.48550039459889777,REP
Alaska,Alaska Survey Research,2024-10-08,10/9/24,1254,lv,Donald Trump,54,REP,Text-to-Web,0,0.41940872337887797,REP
Pennsylvania,TIPP,2024-10-07,10/9/24,1079,rv,Kamala Harris,49.2,DEM,Online Panel,1,0.4589947651500153,REP
Pennsylvania,TIPP,2024-10-07,10/9/24,1079,rv,Donald Trump,45.3,REP,Online Panel,0,0.49146663622649783,REP
Pennsylvania,TIPP,2024-10-07,10/9/24,803,lv,Kamala Harris,47.5,DEM,Online Panel,1,0.47331889997690185,REP
Pennsylvania,TIPP,2024-10-07,10/9/24,803,lv,Donald Trump,48.9,REP,Online Panel,0,0.46167942121407535,REP
Pennsylvania,TIPP,2024-10-07,10/9/24,1079,rv,Kamala Harris,48.5,DEM,Online Panel,1,0.46480546407806134,REP
Pennsylvania,TIPP,2024-10-07,10/9/24,1079,rv,Donald Trump,44.9,REP,Online Panel,0,0.4948058246906838,REP
Pennsylvania,TIPP,2024-10-07,10/9/24,803,lv,Kamala Harris,48.3,DEM,Online Panel,1,0.46666340047378724,REP
Pennsylvania,TIPP,2024-10-07,10/9/24,803,lv,Donald Trump,49,REP,Online Panel,0,0.46084947506972085,REP
Arizona,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Kamala Harris,46,DEM,Live Phone/Text-to-Web,1,0.48582383446176497,REP
Arizona,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Donald Trump,49,REP,Live Phone/Text-to-Web,0,0.46085160098275574,REP
Georgia,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Kamala Harris,45,DEM,Live Phone/Text-to-Web,1,0.4941698740042891,REP
Georgia,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Donald Trump,50,REP,Live Phone/Text-to-Web,0,0.45256481663323617,REP
Michigan,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Kamala Harris,48,DEM,Live Phone/Text-to-Web,1,0.4691600814596684,REP
Michigan,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Donald Trump,49,REP,Live Phone/Text-to-Web,0,0.46085160098275574,REP
Nevada,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Kamala Harris,47,DEM,Live Phone/Text-to-Web,1,0.47748569347494196,REP
Nevada,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Donald Trump,50,REP,Live Phone/Text-to-Web,0,0.45256481663323617,REP
North Carolina,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Kamala Harris,47,DEM,Live Phone/Text-to-Web,1,0.47748569347494196,REP
North Carolina,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Donald Trump,48,REP,Live Phone/Text-to-Web,0,0.4691600814596684,REP
Pennsylvania,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Kamala Harris,48,DEM,Live Phone/Text-to-Web,1,0.4691600814596684,REP
Pennsylvania,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Donald Trump,49,REP,Live Phone/Text-to-Web,0,0.46085160098275574,REP
Wisconsin,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Kamala Harris,48,DEM,Live Phone/Text-to-Web,1,0.4691600814596684,REP
Wisconsin,Fabrizio/McLaughlin,2024-10-06,10/9/24,800,lv,Donald Trump,49,REP,Live Phone/Text-to-Web,0,0.46085160098275574,REP
Pennsylvania,University of Massachusetts Lowell/YouGov,2024-10-02,10/9/24,800,lv,Kamala Harris,46,DEM,Online Panel,1,0.48582383446176497,REP
Pennsylvania,University of Massachusetts Lowell/YouGov,2024-10-02,10/9/24,800,lv,Donald Trump,45,REP,Online Panel,0,0.4941698740042891,REP
Michigan,ActiVote,2024-09-15,10/9/24,400,lv,Kamala Harris,51.2,DEM,App Panel,1,0.4429371403452722,REP
Michigan,ActiVote,2024-09-15,10/9/24,400,lv,Donald Trump,48.8,REP,App Panel,0,0.4627953192320072,REP
Minnesota,ActiVote,2024-09-10,10/9/24,400,lv,Kamala Harris,52.9,DEM,App Panel,1,0.4289767176238164,REP
Minnesota,ActiVote,2024-09-10,10/9/24,400,lv,Donald Trump,47.1,REP,App Panel,0,0.4769370815348627,REP
Pennsylvania,InsiderAdvantage,2024-10-07,10/8/24,800,lv,Kamala Harris,47,DEM,Text,1,0.47748569347494196,REP
Pennsylvania,InsiderAdvantage,2024-10-07,10/8/24,800,lv,Donald Trump,49,REP,Text,0,0.46085160098275574,REP
Georgia,Trafalgar Group,2024-10-07,10/8/24,1089,lv,Kamala Harris,44.9,DEM,IVR/Live Phone/Text/Online Panel/Email,1,0.494798695371829,REP
Georgia,Trafalgar Group,2024-10-07,10/8/24,1089,lv,Donald Trump,46.2,REP,IVR/Live Phone/Text/Online Panel/Email,0,0.48394957593055776,REP
Arizona,Emerson,2024-10-05,10/8/24,1000,lv,Kamala Harris,48.2,DEM,IVR/Online Panel/Text-to-Web,1,0.4673548716214934,REP
Arizona,Emerson,2024-10-05,10/8/24,1000,lv,Donald Trump,50.5,REP,IVR/Online Panel/Text-to-Web,0,0.44828989338940856,REP
Georgia,Emerson,2024-10-05,10/8/24,1000,lv,Kamala Harris,49.8,DEM,IVR/Online Panel/Text-to-Web,1,0.4540788176052807,REP
Georgia,Emerson,2024-10-05,10/8/24,1000,lv,Donald Trump,49.7,REP,IVR/Online Panel/Text-to-Web,0,0.45490685851317103,REP
Michigan,Emerson,2024-10-05,10/8/24,950,lv,Kamala Harris,49.7,DEM,IVR/Online Panel/Text-to-Web,1,0.4549422192221194,REP
Michigan,Emerson,2024-10-05,10/8/24,950,lv,Donald Trump,49.6,REP,IVR/Online Panel/Text-to-Web,0,0.45577052012943226,REP
Nevada,Emerson,2024-10-05,10/8/24,900,lv,Kamala Harris,49.2,DEM,IVR/Online Panel/Text-to-Web,1,0.4591215380070485,REP
Nevada,Emerson,2024-10-05,10/8/24,900,lv,Donald Trump,48.1,REP,IVR/Online Panel/Text-to-Web,0,0.4682573726796633,REP
North Carolina,Emerson,2024-10-05,10/8/24,1000,lv,Kamala Harris,49,DEM,IVR/Online Panel/Text-to-Web,1,0.4607098765682463,REP
North Carolina,Emerson,2024-10-05,10/8/24,1000,lv,Donald Trump,49.9,REP,IVR/Online Panel/Text-to-Web,0,0.4532510306497427,REP
Pennsylvania,Emerson,2024-10-05,10/8/24,1000,lv,Kamala Harris,49,DEM,IVR/Online Panel/Text-to-Web,1,0.4607098765682463,REP
Pennsylvania,Emerson,2024-10-05,10/8/24,1000,lv,Donald Trump,49.7,REP,IVR/Online Panel/Text-to-Web,0,0.45490685851317103,REP
Wisconsin,Emerson,2024-10-05,10/8/24,1000,lv,Kamala Harris,49.2,DEM,IVR/Online Panel/Text-to-Web,1,0.4590507145285361,REP
Wisconsin,Emerson,2024-10-05,10/8/24,1000,lv,Donald Trump,49.9,REP,IVR/Online Panel/Text-to-Web,0,0.4532510306497427,REP
Montana,Siena/NYT,2024-10-05,10/8/24,656,rv,Kamala Harris,39,DEM,Live Phone,1,0.5442536366298264,DEM
Montana,Siena/NYT,2024-10-05,10/8/24,656,rv,Donald Trump,57,REP,Live Phone,0,0.3956339842044471,REP
Montana,Siena/NYT,2024-10-05,10/8/24,656,rv,Kamala Harris,38,DEM,Live Phone,1,0.5525248119815113,DEM
Montana,Siena/NYT,2024-10-05,10/8/24,656,rv,Donald Trump,56,REP,Live Phone,0,0.4036469622845139,REP
Montana,Siena/NYT,2024-10-05,10/8/24,656,lv,Kamala Harris,40,DEM,Live Phone,1,0.5359579778335568,DEM
Montana,Siena/NYT,2024-10-05,10/8/24,656,lv,Donald Trump,57,REP,Live Phone,0,0.3956339842044471,REP
Montana,Siena/NYT,2024-10-05,10/8/24,656,lv,Kamala Harris,39,DEM,Live Phone,1,0.5442536366298264,DEM
Montana,Siena/NYT,2024-10-05,10/8/24,656,lv,Donald Trump,56,REP,Live Phone,0,0.4036469622845139,REP
Nebraska,Torchlight Strategies,2024-10-05,10/8/24,600,lv,Kamala Harris,37,DEM,Live Phone/Text-to-Web,1,0.5608063599461225,DEM
Nebraska,Torchlight Strategies,2024-10-05,10/8/24,600,lv,Donald Trump,57,REP,Live Phone/Text-to-Web,0,0.39567217369416197,REP
Pennsylvania,J.L. Partners,2024-10-05,10/8/24,800,lv,Kamala Harris,47,DEM,Live Phone/Online Panel/Text-to-Web,1,0.47748569347494196,REP
Pennsylvania,J.L. Partners,2024-10-05,10/8/24,800,lv,Donald Trump,47,REP,Live Phone/Online Panel/Text-to-Web,0,0.47748569347494196,REP
Florida,Tarrance,2024-10-05,10/8/24,818,rv,Kamala Harris,44,DEM,Live Phone/Text-to-Web,1,0.5025063302609472,DEM
Florida,Tarrance,2024-10-05,10/8/24,818,rv,Donald Trump,51,REP,Live Phone/Text-to-Web,0,0.444291570194565,REP
Nebraska,Change Research,2024-10-03,10/8/24,895,lv,Kamala Harris,38,DEM,Text-to-Web/Online Ad,1,0.5523562773549378,DEM
Nebraska,Change Research,2024-10-03,10/8/24,895,lv,Donald Trump,58,REP,Text-to-Web/Online Ad,0,0.3875148709186363,REP
Michigan,Fabrizio/Impact,2024-10-02,10/8/24,600,lv,Kamala Harris,46,DEM,Live Phone/Text-to-Web,1,0.4859663227664775,REP
Michigan,Fabrizio/Impact,2024-10-02,10/8/24,600,lv,Donald Trump,46,REP,Live Phone/Text-to-Web,0,0.4859663227664775,REP
Michigan,Fabrizio/Impact,2024-10-02,10/8/24,600,lv,Kamala Harris,48,DEM,Live Phone/Text-to-Web,1,0.46930214322780345,REP
Michigan,Fabrizio/Impact,2024-10-02,10/8/24,600,lv,Donald Trump,49,REP,Live Phone/Text-to-Web,0,0.460993331726968,REP
Arizona,ActiVote,2024-09-06,10/8/24,400,lv,Kamala Harris,49.3,DEM,App Panel,1,0.4586463203069531,REP
Arizona,ActiVote,2024-09-06,10/8/24,400,lv,Donald Trump,50.7,REP,App Panel,0,0.4470613870577625,REP
Arizona,SoCal Strategies,2024-10-05,10/7/24,735,lv,Kamala Harris,48.7,DEM,Online Panel,1,0.46338817065878646,REP
Arizona,SoCal Strategies,2024-10-05,10/7/24,735,lv,Donald Trump,47.8,REP,Online Panel,0,0.4708701681643732,REP
Michigan,Research Co.,2024-10-05,10/7/24,450,lv,Kamala Harris,51,DEM,Online Panel,1,0.44455071541022817,REP
Michigan,Research Co.,2024-10-05,10/7/24,450,lv,Donald Trump,48,REP,Online Panel,0,0.4694086928201088,REP
